rto_code,vehicle_category,fuel_type,vehicle_count,data_period,source_citation
DL13,ALL,DIESEL,213,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL13,ALL,DIESEL/HYBRID,7,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL13,ALL,ELECTRIC(BOV),117,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL13,ALL,PETROL,10173,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL13,ALL,PETROL/CNG,635,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL13,ALL,PETROL(E20),21497,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL13,ALL,PETROL(E20)/CNG,2819,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL13,ALL,PETROL(E20)/HYBRID,341,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL13,ALL,PETROL(E20)/HYBRID/CNG,1,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL13,ALL,PETROL/HYBRID,260,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL13,ALL,PETROL/HYBRID/CNG,2,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL13,ALL,PURE EV,2437,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL13,ALL,STRONG HYBRID EV,518,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL11,ALL,CNG ONLY,2,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL11,ALL,DIESEL,258,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL11,ALL,DIESEL/HYBRID,7,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL11,ALL,ELECTRIC(BOV),399,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL11,ALL,PETROL,10184,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL11,ALL,PETROL/CNG,431,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL11,ALL,PETROL(E20),23383,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL11,ALL,PETROL(E20)/CNG,2336,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL11,ALL,PETROL(E20)/HYBRID,276,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL11,ALL,PETROL(E20)/HYBRID/CNG,2,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL11,ALL,PETROL/HYBRID,48,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL11,ALL,PURE EV,2092,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL11,ALL,STRONG HYBRID EV,235,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL6,ALL,CNG ONLY,36,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL6,ALL,DIESEL,242,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL6,ALL,DIESEL/HYBRID,3,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL6,ALL,ELECTRIC(BOV),49,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL6,ALL,PETROL,2580,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL6,ALL,PETROL/CNG,50,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL6,ALL,PETROL(E20),12030,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL6,ALL,PETROL(E20)/CNG,364,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL6,ALL,PETROL(E20)/HYBRID,35,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL6,ALL,PETROL/HYBRID,52,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL6,ALL,PURE EV,1958,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL6,ALL,STRONG HYBRID EV,121,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL3,ALL,CNG ONLY,99,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL3,ALL,DIESEL,692,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL3,ALL,DIESEL/HYBRID,14,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL3,ALL,ELECTRIC(BOV),470,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL3,ALL,PETROL,21137,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
