zone,param,timestamp,value
Anand Vihar,PM10,2026-06-17 03:00:00,172.0
Anand Vihar,PM10,2026-06-17 04:00:00,188.0
Anand Vihar,PM10,2026-06-17 05:00:00,188.0
Anand Vihar,PM10,2026-06-17 06:00:00,133.0
Anand Vihar,PM10,2026-06-17 07:00:00,103.0
Anand Vihar,PM10,2026-06-17 08:00:00,188.0
Anand Vihar,PM10,2026-06-17 09:00:00,364.0
Anand Vihar,PM10,2026-06-17 10:00:00,248.0
Anand Vihar,PM10,2026-06-17 11:00:00,331.0
Anand Vihar,PM10,2026-06-17 12:00:00,244.0
Anand Vihar,PM10,2026-06-17 13:00:00,202.0
Anand Vihar,PM10,2026-06-17 14:00:00,161.0
Anand Vihar,PM10,2026-06-17 15:00:00,182.0
Anand Vihar,PM10,2026-06-17 16:00:00,86.0
Anand Vihar,PM10,2026-06-17 17:00:00,100.0
Anand Vihar,PM10,2026-06-17 18:00:00,229.0
Anand Vihar,PM10,2026-06-17 19:00:00,237.0
Anand Vihar,PM10,2026-06-17 20:00:00,304.0
Anand Vihar,PM10,2026-06-17 21:00:00,431.0
Anand Vihar,PM10,2026-06-17 22:00:00,318.0
Anand Vihar,PM10,2026-06-17 23:00:00,350.0
Anand Vihar,PM10,2026-06-18 00:00:00,440.0
Anand Vihar,PM10,2026-06-18 01:00:00,335.0
Anand Vihar,PM10,2026-06-18 02:00:00,252.0
Anand Vihar,PM10,2026-06-18 03:00:00,274.0
Anand Vihar,PM10,2026-06-18 04:00:00,436.0
Anand Vihar,PM10,2026-06-18 05:00:00,370.0
Anand Vihar,PM10,2026-06-18 06:00:00,372.0
Anand Vihar,PM10,2026-06-18 07:00:00,444.0
Anand Vihar,PM10,2026-06-18 08:00:00,329.0
Anand Vihar,PM10,2026-06-18 09:00:00,368.0
Anand Vihar,PM10,2026-06-18 10:00:00,305.0
Anand Vihar,PM10,2026-06-18 11:00:00,285.0
Anand Vihar,PM10,2026-06-18 12:00:00,172.0
Anand Vihar,PM10,2026-06-18 13:00:00,169.0
Anand Vihar,PM10,2026-06-18 14:00:00,255.0
Anand Vihar,PM10,2026-06-18 15:00:00,238.0
Anand Vihar,PM10,2026-06-18 16:00:00,283.0
Anand Vihar,PM10,2026-06-18 17:00:00,338.0
Anand Vihar,PM10,2026-06-18 18:00:00,526.0
Anand Vihar,PM10,2026-06-18 19:00:00,269.0
Anand Vihar,PM10,2026-06-18 20:00:00,243.0
Anand Vihar,PM10,2026-06-18 21:00:00,194.0
Anand Vihar,PM10,2026-06-18 22:00:00,41.0
Anand Vihar,PM10,2026-06-18 23:00:00,134.0
Anand Vihar,PM10,2026-06-19 00:00:00,195.0
Anand Vihar,PM10,2026-06-19 10:00:00,
Anand Vihar,PM10,2026-06-19 11:00:00,378.0
Anand Vihar,PM10,2026-06-19 12:00:00,385.0
Anand Vihar,PM10,2026-06-19 13:00:00,471.0
Anand Vihar,PM10,2026-06-19 14:00:00,328.0
Anand Vihar,PM10,2026-06-19 15:00:00,335.0
Anand Vihar,PM10,2026-06-19 16:00:00,316.0
Anand Vihar,PM10,2026-06-19 17:00:00,266.0
Anand Vihar,PM10,2026-06-19 18:00:00,128.0
Anand Vihar,PM10,2026-06-19 19:00:00,193.0
Anand Vihar,PM10,2026-06-19 20:00:00,239.0
Anand Vihar,PM10,2026-06-19 21:00:00,199.0
Anand Vihar,PM10,2026-06-19 22:00:00,254.0
Anand Vihar,PM10,2026-06-19 23:00:00,317.0
Anand Vihar,PM10,2026-06-20 00:00:00,267.0
Anand Vihar,PM10,2026-06-20 01:00:00,224.0
Anand Vihar,PM10,2026-06-20 02:00:00,141.0
Anand Vihar,PM10,2026-06-20 03:00:00,147.0
Anand Vihar,PM10,2026-06-20 04:00:00,56.0
Anand Vihar,PM10,2026-06-20 05:00:00,150.0
Anand Vihar,PM10,2026-06-20 06:00:00,255.0
Anand Vihar,PM10,2026-06-20 07:00:00,304.0
Anand Vihar,PM10,2026-06-20 08:00:00,213.0
Anand Vihar,PM10,2026-06-20 09:00:00,377.0
Anand Vihar,PM10,2026-06-20 10:00:00,329.0
Anand Vihar,PM10,2026-06-20 11:00:00,262.0
Anand Vihar,PM10,2026-06-20 12:00:00,267.0
Anand Vihar,PM10,2026-06-20 13:00:00,244.0
Anand Vihar,PM10,2026-06-20 14:00:00,105.0
Anand Vihar,PM10,2026-06-20 15:00:00,130.0
Anand Vihar,PM10,2026-06-20 16:00:00,200.0
Anand Vihar,PM10,2026-06-20 17:00:00,226.0
Anand Vihar,PM10,2026-06-20 18:00:00,271.0
Anand Vihar,PM10,2026-06-20 19:00:00,412.0
Anand Vihar,PM10,2026-06-20 20:00:00,367.0
Anand Vihar,PM10,2026-06-20 21:00:00,383.0
Anand Vihar,PM10,2026-06-20 22:00:00,373.0
Anand Vihar,PM10,2026-06-20 23:00:00,350.0
Anand Vihar,PM10,2026-06-21 00:00:00,226.0
Anand Vihar,PM10,2026-06-21 01:00:00,302.0
Anand Vihar,PM10,2026-06-21 02:00:00,215.0
Anand Vihar,PM10,2026-06-21 03:00:00,233.0
Anand Vihar,PM10,2026-06-21 04:00:00,234.0
Anand Vihar,PM10,2026-06-21 05:00:00,313.0
Anand Vihar,PM10,2026-06-21 06:00:00,222.0
Anand Vihar,PM10,2026-06-21 07:00:00,189.0
Anand Vihar,PM10,2026-06-21 08:00:00,204.0
Anand Vihar,PM10,2026-06-21 09:00:00,182.0
Anand Vihar,PM10,2026-06-21 10:00:00,59.0
Anand Vihar,PM10,2026-06-21 11:00:00,151.0
Anand Vihar,PM10,2026-06-21 12:00:00,201.0
Anand Vihar,PM10,2026-06-21 13:00:00,183.0
Anand Vihar,PM10,2026-06-21 14:00:00,226.0
Anand Vihar,PM10,2026-06-21 15:00:00,296.0
Anand Vihar,PM10,2026-06-21 16:00:00,230.0
Anand Vihar,PM10,2026-06-21 17:00:00,194.0
Anand Vihar,PM10,2026-06-21 18:00:00,200.0
Anand Vihar,PM10,2026-06-21 19:00:00,232.0
Anand Vihar,PM10,2026-06-21 20:00:00,149.0
Anand Vihar,PM10,2026-06-21 21:00:00,167.0
Anand Vihar,PM10,2026-06-21 22:00:00,345.0
Anand Vihar,PM10,2026-06-22 02:00:00,902.0
Anand Vihar,PM10,2026-06-22 03:00:00,727.0
Anand Vihar,PM10,2026-06-22 04:00:00,619.0
Anand Vihar,PM10,2026-06-22 05:00:00,581.0
Anand Vihar,PM10,2026-06-22 06:00:00,373.0
Anand Vihar,PM10,2026-06-22 07:00:00,456.0
Anand Vihar,PM10,2026-06-22 08:00:00,471.0
Anand Vihar,PM10,2026-06-22 09:00:00,487.0
Anand Vihar,PM10,2026-06-22 10:00:00,388.0
Anand Vihar,PM10,2026-06-22 11:00:00,560.0
Anand Vihar,PM10,2026-06-22 12:00:00,350.0
Anand Vihar,PM10,2026-06-22 13:00:00,243.0
Anand Vihar,PM10,2026-06-22 14:00:00,179.0
Anand Vihar,PM10,2026-06-22 15:00:00,156.0
Anand Vihar,PM10,2026-06-22 16:00:00,136.0
Anand Vihar,PM10,2026-06-22 17:00:00,118.0
Anand Vihar,PM10,2026-06-22 18:00:00,172.0
Anand Vihar,PM10,2026-06-22 19:00:00,228.0
Anand Vihar,PM10,2026-06-22 20:00:00,268.0
Anand Vihar,PM10,2026-06-22 21:00:00,383.0
Anand Vihar,PM10,2026-06-22 22:00:00,315.0
Anand Vihar,PM10,2026-06-22 23:00:00,312.0
Anand Vihar,PM10,2026-06-23 00:00:00,332.0
Anand Vihar,PM10,2026-06-23 01:00:00,272.0
Anand Vihar,PM10,2026-06-23 02:00:00,118.0
Anand Vihar,PM10,2026-06-23 03:00:00,166.0
Anand Vihar,PM10,2026-06-23 04:00:00,228.0
Anand Vihar,PM10,2026-06-23 05:00:00,390.0
Anand Vihar,PM10,2026-06-23 06:00:00,392.0
Anand Vihar,PM10,2026-06-23 07:00:00,438.0
Anand Vihar,PM10,2026-06-23 08:00:00,254.0
Anand Vihar,PM10,2026-06-23 09:00:00,333.0
Anand Vihar,PM10,2026-06-23 10:00:00,216.0
Anand Vihar,PM10,2026-06-23 11:00:00,235.0
Anand Vihar,PM10,2026-06-23 12:00:00,97.0
Anand Vihar,PM10,2026-06-23 13:00:00,145.0
Anand Vihar,PM10,2026-06-23 14:00:00,223.0
Anand Vihar,PM10,2026-06-23 15:00:00,230.0
Anand Vihar,PM10,2026-06-23 17:00:00,346.0
Anand Vihar,PM10,2026-06-23 18:00:00,262.0
Anand Vihar,PM10,2026-06-23 19:00:00,404.0
Anand Vihar,PM10,2026-06-23 20:00:00,272.0
Anand Vihar,PM10,2026-06-23 21:00:00,401.0
Anand Vihar,PM10,2026-06-23 22:00:00,161.0
Anand Vihar,PM10,2026-06-23 23:00:00,183.0
Anand Vihar,PM10,2026-06-24 00:00:00,232.0
Anand Vihar,PM10,2026-06-24 01:00:00,328.0
Anand Vihar,PM10,2026-06-24 02:00:00,197.0
Anand Vihar,PM10,2026-06-24 03:00:00,343.0
Anand Vihar,PM10,2026-06-24 04:00:00,278.0
Anand Vihar,PM10,2026-06-24 05:00:00,267.0
Anand Vihar,PM10,2026-06-24 06:00:00,377.0
Anand Vihar,PM10,2026-06-24 07:00:00,245.0
Anand Vihar,PM10,2026-06-24 08:00:00,95.0
Anand Vihar,PM10,2026-06-24 09:00:00,160.0
Anand Vihar,PM10,2026-06-24 10:00:00,221.0
Anand Vihar,PM10,2026-06-24 11:00:00,162.0
Anand Vihar,PM10,2026-06-24 12:00:00,216.0
Anand Vihar,PM10,2026-06-24 13:00:00,307.0
Anand Vihar,PM10,2026-06-24 14:00:00,201.0
Anand Vihar,PM10,2026-06-24 15:00:00,175.0
Anand Vihar,PM10,2026-06-24 16:00:00,193.0
Anand Vihar,PM10,2026-06-24 17:00:00,151.0
Anand Vihar,PM10,2026-06-24 18:00:00,229.0
Anand Vihar,PM10,2026-06-24 19:00:00,204.0
Anand Vihar,PM10,2026-06-24 20:00:00,287.0
Anand Vihar,PM10,2026-06-24 21:00:00,134.0
Anand Vihar,PM10,2026-06-24 22:00:00,155.0
Anand Vihar,PM10,2026-06-24 23:00:00,238.0
Anand Vihar,PM10,2026-06-25 00:00:00,260.0
Anand Vihar,PM10,2026-06-25 01:00:00,259.0
Anand Vihar,PM10,2026-06-25 11:00:00,295.0
Anand Vihar,PM10,2026-06-25 14:00:00,
Anand Vihar,PM10,2026-06-25 15:00:00,
Anand Vihar,PM10,2026-06-25 16:00:00,140.0
Anand Vihar,PM10,2026-06-25 17:00:00,101.0
Anand Vihar,PM10,2026-06-25 18:00:00,250.0
Anand Vihar,PM10,2026-06-25 19:00:00,274.0
Anand Vihar,PM10,2026-06-25 20:00:00,338.0
Anand Vihar,PM10,2026-06-25 21:00:00,392.0
Anand Vihar,PM10,2026-06-25 22:00:00,454.0
Anand Vihar,PM10,2026-06-25 23:00:00,306.0
Anand Vihar,PM10,2026-06-26 00:00:00,219.0
Anand Vihar,PM10,2026-06-26 01:00:00,168.0
Anand Vihar,PM10,2026-06-26 02:00:00,162.0
Anand Vihar,PM10,2026-06-26 03:00:00,19.0
Anand Vihar,PM10,2026-06-26 04:00:00,80.0
Anand Vihar,PM10,2026-06-26 05:00:00,150.0
Anand Vihar,PM10,2026-06-26 06:00:00,183.0
Anand Vihar,PM10,2026-06-26 07:00:00,233.0
Anand Vihar,PM10,2026-06-26 08:00:00,291.0
Anand Vihar,PM10,2026-06-26 09:00:00,381.0
